layer,baseline_mean_distance,fragweave_mean_distance
0,0.0,0.0
1,0.5290508270263672,1.440082311630249
2,0.7097445726394653,1.6598514318466187
3,1.2481125593185425,2.0970258712768555
4,1.4928932189941406,2.4372105598449707
5,1.7788559198379517,2.8432986736297607
6,2.1896517276763916,3.58771014213562
7,2.4220266342163086,4.108222007751465
8,2.6871676445007324,4.360223293304443
9,3.2999637126922607,5.412291526794434
10,4.159741401672363,7.349576473236084
11,4.743020534515381,7.870047092437744
12,5.6785502433776855,8.706762313842773
13,6.880171775817871,10.168667793273926
14,8.984842300415039,13.761625289916992
15,12.550997734069824,18.800617218017578
16,13.476446151733398,20.27713394165039
17,17.98383331298828,26.91683578491211
18,21.45594596862793,30.936237335205078
19,26.43783950805664,35.7468376159668
20,34.69782257080078,45.33940887451172
21,43.29088592529297,57.20008087158203
22,56.13347625732422,70.75762939453125
23,71.47631072998047,90.46495819091797
24,87.3878402709961,109.71492767333984
25,115.2916030883789,134.8843231201172
26,141.62838745117188,162.77874755859375
27,177.30740356445312,201.36868286132812
28,167.31222534179688,208.5915985107422
