sample_id,span_label,prompt_side
1,baseline_injection,baseline
1,fragweave_woven,fragweave
1,fragweave_woven,fragweave
1,fragweave_woven,fragweave
1,benign_carrier,baseline
1,question_span,baseline
10,baseline_injection,baseline
10,fragweave_woven,fragweave
10,fragweave_woven,fragweave
10,fragweave_woven,fragweave
10,benign_carrier,baseline
10,question_span,baseline
11,baseline_injection,baseline
11,fragweave_woven,fragweave
11,fragweave_woven,fragweave
11,fragweave_woven,fragweave
11,benign_carrier,baseline
11,question_span,baseline
12,baseline_injection,baseline
12,fragweave_woven,fragweave
12,fragweave_woven,fragweave
12,fragweave_woven,fragweave
12,benign_carrier,baseline
12,question_span,baseline
13,baseline_injection,baseline
13,fragweave_woven,fragweave
13,fragweave_woven,fragweave
13,fragweave_woven,fragweave
13,benign_carrier,baseline
13,question_span,baseline
14,baseline_injection,baseline
14,fragweave_woven,fragweave
14,fragweave_woven,fragweave
14,fragweave_woven,fragweave
14,benign_carrier,baseline
14,question_span,baseline
15,baseline_injection,baseline
15,fragweave_woven,fragweave
15,fragweave_woven,fragweave
15,fragweave_woven,fragweave
15,benign_carrier,baseline
15,question_span,baseline
16,baseline_injection,baseline
16,fragweave_woven,fragweave
16,fragweave_woven,fragweave
16,fragweave_woven,fragweave
16,benign_carrier,baseline
16,question_span,baseline
17,baseline_injection,baseline
17,fragweave_woven,fragweave
17,fragweave_woven,fragweave
17,fragweave_woven,fragweave
17,benign_carrier,baseline
17,question_span,baseline
18,baseline_injection,baseline
18,fragweave_woven,fragweave
18,fragweave_woven,fragweave
18,fragweave_woven,fragweave
18,benign_carrier,baseline
18,question_span,baseline
19,baseline_injection,baseline
19,fragweave_woven,fragweave
19,fragweave_woven,fragweave
19,fragweave_woven,fragweave
19,benign_carrier,baseline
19,question_span,baseline
2,baseline_injection,baseline
2,fragweave_woven,fragweave
2,fragweave_woven,fragweave
2,fragweave_woven,fragweave
2,benign_carrier,baseline
2,question_span,baseline
20,baseline_injection,baseline
20,fragweave_woven,fragweave
20,fragweave_woven,fragweave
20,fragweave_woven,fragweave
20,benign_carrier,baseline
20,question_span,baseline
21,baseline_injection,baseline
21,fragweave_woven,fragweave
21,fragweave_woven,fragweave
21,fragweave_woven,fragweave
21,benign_carrier,baseline
21,question_span,baseline
22,baseline_injection,baseline
22,fragweave_woven,fragweave
22,fragweave_woven,fragweave
22,fragweave_woven,fragweave
22,benign_carrier,baseline
22,question_span,baseline
23,baseline_injection,baseline
23,fragweave_woven,fragweave
23,fragweave_woven,fragweave
23,fragweave_woven,fragweave
23,benign_carrier,baseline
23,question_span,baseline
24,baseline_injection,baseline
24,fragweave_woven,fragweave
24,fragweave_woven,fragweave
24,fragweave_woven,fragweave
24,benign_carrier,baseline
24,question_span,baseline
25,baseline_injection,baseline
25,fragweave_woven,fragweave
25,fragweave_woven,fragweave
25,fragweave_woven,fragweave
25,benign_carrier,baseline
25,question_span,baseline
26,baseline_injection,baseline
26,fragweave_woven,fragweave
26,fragweave_woven,fragweave
26,fragweave_woven,fragweave
26,benign_carrier,baseline
26,question_span,baseline
27,baseline_injection,baseline
27,fragweave_woven,fragweave
27,fragweave_woven,fragweave
27,fragweave_woven,fragweave
27,benign_carrier,baseline
27,question_span,baseline
