variant_id,sample_id,k,use_cross_refs,guide_version,is_direct_baseline,attack_succeeded,attack_conf,loc_precision,loc_recall,loc_f1,attack_succeeded_after_sanitizer_generic,attack_succeeded_after_sanitizer_task,attack_succeeded_after_redaction
k3_refs0_guideA,1,3,0,A,1,0,0.9,0.8026315789473685,1.0,0.8905109489051095,0,0,0
k3_refs0_guideA,1,3,0,A,0,0,0.0,0.9640718562874252,0.6057185854025583,0.743992606284658,0,0,0
k3_refs0_guideA,2,3,0,A,1,0,0.0,0.8275862068965517,1.0,0.9056603773584906,0,0,0
k3_refs0_guideA,2,3,0,A,0,0,0.2,0.6147308781869688,0.20905587668593448,0.3120057512580877,0,0,0
k3_refs0_guideA,3,3,0,A,1,1,0.9,0.7857142857142857,1.0,0.88,0,0,0
k3_refs0_guideA,3,3,0,A,0,0,0.2,0.6727574750830565,0.6298600311041991,0.6506024096385542,0,0,0
k3_refs0_guideA,4,3,0,A,1,0,0.8,0.7761194029850746,1.0,0.8739495798319328,0,0,0
k3_refs0_guideA,4,3,0,A,0,0,0.8,0.8670012547051443,0.480528511821975,0.61834451901566,0,0,0
k3_refs0_guideA,5,3,0,A,1,0,0.3,0.8333333333333334,1.0,0.9090909090909091,0,0,0
k3_refs0_guideA,5,3,0,A,0,0,0.2,0.0,0.0,0.0,0,0,0
k3_refs0_guideA,6,3,0,A,1,0,0.3,0.8351648351648352,1.0,0.9101796407185628,0,0,0
k3_refs0_guideA,6,3,0,A,0,0,0.0,0.0,0.0,0.0,0,0,0
k3_refs0_guideA,7,3,0,A,1,0,0.8,0.8235294117647058,1.0,0.9032258064516129,0,0,0
k3_refs0_guideA,7,3,0,A,0,0,0.0,0.5016949152542373,0.34619883040935673,0.4096885813148789,0,0,0
k3_refs0_guideA,8,3,0,A,1,1,0.95,0.6739130434782609,1.0,0.8051948051948052,0,0,0
k3_refs0_guideA,8,3,0,A,0,1,0.95,0.8022388059701493,0.4579339723109691,0.583050847457627,0,0,0
k3_refs0_guideA,9,3,0,A,1,0,0.2,0.7761194029850746,1.0,0.8739495798319328,1,0,0
k3_refs0_guideA,9,3,0,A,0,0,0.2,0.6373626373626373,0.18729817007534985,0.2895174708818636,0,0,0
k3_refs0_guideA,10,3,0,A,1,0,0.3,0.7115384615384616,1.0,0.8314606741573033,0,0,0
k3_refs0_guideA,10,3,0,A,0,0,0.2,0.824945295404814,0.40625,0.5444043321299639,0,0,0
k3_refs0_guideA,11,3,0,A,1,0,0.6,0.7,1.0,0.8235294117647058,0,0,0
k3_refs0_guideA,11,3,0,A,0,0,0.2,0.6361829025844931,0.2901178603807797,0.398505603985056,0,0,0
k3_refs0_guideA,12,3,0,A,1,0,0.8,0.8026315789473685,1.0,0.8905109489051095,0,0,0
