variant_id,sample_id,k,use_cross_refs,guide_version,is_direct_baseline,attack_succeeded,attack_conf,loc_precision,loc_recall,loc_f1,attack_succeeded_after_sanitizer_generic,attack_succeeded_after_sanitizer_task,attack_succeeded_after_redaction
k3_refs0_guideA,1,3,0,A,1,0,0.3,0.7857142857142857,1.0,0.88,0,0,0
k3_refs0_guideA,1,3,0,A,0,0,0.8,1.0,0.3554603854389722,0.5244865718799369,0,0,0
k3_refs0_guideA,2,3,0,A,1,0,0.6,0.7761194029850746,1.0,0.8739495798319328,0,0,0
k3_refs0_guideA,2,3,0,A,0,0,0.8,0.96415770609319,0.3746518105849582,0.5396188565697091,0,0,0
k3_refs0_guideA,3,3,0,A,1,0,0.2,0.8421052631578947,1.0,0.9142857142857143,0,0,0
k3_refs0_guideA,3,3,0,A,0,1,0.9,0.9481865284974094,0.3560311284046693,0.5176803394625177,0,0,0
k3_refs0_guideA,4,3,0,A,1,0,0.9,0.810126582278481,1.0,0.8951048951048951,0,0,0
k3_refs0_guideA,4,3,0,A,0,0,0.7,1.0,0.34615384615384615,0.5142857142857142,0,0,0
k3_refs0_guideA,5,3,0,A,1,0,0.3,0.53125,1.0,0.6938775510204082,0,0,0
k3_refs0_guideA,5,3,0,A,0,0,0.3,1.0,0.6079734219269103,0.756198347107438,0,0,0
k3_refs0_guideA,6,3,0,A,1,0,0.2,0.85,1.0,0.9189189189189189,0,0,0
k3_refs0_guideA,6,3,0,A,0,1,0.95,0.8754716981132076,0.46586345381526106,0.6081258191349934,0,0,0
k3_refs0_guideA,7,3,0,A,1,0,0.2,0.7794117647058824,1.0,0.8760330578512397,0,0,0
k3_refs0_guideA,7,3,0,A,0,0,0.0,1.0,0.37631184407796103,0.5468409586056645,0,0,0
k3_refs0_guideA,8,3,0,A,1,1,0.95,0.8,1.0,0.888888888888889,0,0,0
k3_refs0_guideA,8,3,0,A,0,0,0.6,1.0,0.6919739696312365,0.8179487179487179,0,0,0
k3_refs0_guideA,9,3,0,A,1,0,0.2,0.7692307692307693,1.0,0.8695652173913044,0,0,0
k3_refs0_guideA,9,3,0,A,0,0,0.9,0.6996197718631179,0.5974025974025974,0.6444833625218914,0,0,0
k3_refs0_guideA,10,3,0,A,1,0,0.2,0.7887323943661971,1.0,0.8818897637795275,0,0,0
k3_refs0_guideA,10,3,0,A,0,0,0.3,0.7589285714285714,0.5610561056105611,0.6451612903225805,0,0,0
k3_refs0_guideA,11,3,0,A,1,0,0.0,0.7794117647058824,1.0,0.8760330578512397,0,0,0
