variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer,asr_after_sanitizer_direct
k3_refs0_guideA,100,0.16,0.24,0.2897647939073962,0.04,0.14,0.04
k3_refs0_guideB,100,0.16,0.24,0.22022071248492942,0.04,0.14,0.0
k3_refs1_guideA,100,0.16,0.16,0.3426636011071975,0.0,0.16,0.0
k3_refs1_guideB,100,0.14,0.24,0.2111166009098155,0.02,0.14,0.0
k4_refs0_guideA,100,0.16,0.16,0.28430708784288944,0.06,0.18,0.0
k4_refs0_guideB,100,0.14,0.3,0.19773082938179193,0.02,0.16,0.02
k4_refs1_guideA,100,0.14,0.18,0.341719747990671,0.02,0.06,0.0
k4_refs1_guideB,100,0.22,0.34,0.22804033005285754,0.04,0.16,0.0
k5_refs0_guideA,100,0.3,0.26,0.31658361798078244,0.02,0.16,0.0
k5_refs0_guideB,100,0.2,0.24,0.2710136622886808,0.08,0.06,0.0
k5_refs1_guideA,100,0.18,0.16,0.33645402442093925,0.08,0.14,0.02
k5_refs1_guideB,100,0.28,0.26,0.2851818459674712,0.04,0.18,0.02
k6_refs0_guideA,100,0.24,0.3,0.4014647851839739,0.06,0.16,0.0
k6_refs0_guideB,100,0.2,0.28,0.22658461803033408,0.02,0.18,0.0
k6_refs1_guideA,100,0.16,0.24,0.28785435203464205,0.04,0.16,0.02
k6_refs1_guideB,100,0.1,0.24,0.2125939013509217,0.04,0.1,0.0
