variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer,asr_after_sanitizer_direct
k3_refs0_guideA,50,0.18,0.22,0.5541083904493058,0.8797790313591755,0.06,0.02
k3_refs0_guideB,50,0.14,0.26,0.5259815831914206,0.8779798612672386,0.12,0.02
k3_refs1_guideA,50,0.22,0.14,0.5850425712756799,0.8814499978661268,0.14,0.02
k3_refs1_guideB,50,0.04,0.3,0.5631273750680037,0.8831297322228403,0.02,0.0
k4_refs0_guideA,50,0.16,0.14,0.6137576974664894,0.8855149750977415,0.06,0.0
k4_refs0_guideB,50,0.06,0.16,0.5268591776300979,0.8839033361591211,0.04,0.0
k4_refs1_guideA,50,0.3,0.22,0.6645798776060218,0.8779661091871634,0.04,0.0
k4_refs1_guideB,50,0.08,0.22,0.5553277638420496,0.8750251897566278,0.02,0.0
k5_refs0_guideA,50,0.26,0.26,0.6069397181591586,0.8845836480457722,0.08,0.0
k5_refs0_guideB,50,0.1,0.28,0.6220565147059068,0.8845032670431091,0.08,0.02
k5_refs1_guideA,50,0.22,0.18,0.5974271483521679,0.881871145126335,0.04,0.0
k5_refs1_guideB,50,0.16,0.3,0.6055814973141199,0.8848284108182207,0.08,0.02
k6_refs0_guideA,50,0.36,0.4,0.567016228095405,0.8764099927123159,0.14,0.0
k6_refs0_guideB,50,0.14,0.2,0.5181279221814221,0.880242634600865,0.04,0.0
k6_refs1_guideA,50,0.3,0.24,0.5787502406440985,0.8768061090891037,0.06,0.0
k6_refs1_guideB,50,0.22,0.24,0.6223498520856295,0.8826389436474531,0.06,0.0
