seed,variant_id,n,asr,loc_f1,asr_after_sanitizer,asr_direct,loc_f1_direct,asr_after_sanitizer_direct
2026,k3_refs0_weavewithout_guidewithout,50,0.44,0.9217799426764002,0.04,,,
2026,k3_refs0_weavewithout_guideA,50,0.5,0.6437923784765799,0.04,,,
2026,k3_refs0_weavewithout_guideB,50,0.32,0.7026413358980568,0.0,,,
2026,k3_refs0_weavewith_guidewithout,50,0.12,0.5832570267691347,0.02,,,
2026,k3_refs0_weavewith_guideA,50,0.46,0.5619872238475467,0.2,,,
2026,k3_refs0_weavewith_guideB,50,0.16,0.5589995104822123,0.06,,,
2026,k3_refs0_weavewithdecoy_guidewithout,50,0.12,0.46043549322731825,0.04,,,
2026,k3_refs0_weavewithdecoy_guideA,50,0.34,0.4936707186930587,0.14,,,
2026,k3_refs0_weavewithdecoy_guideB,50,0.1,0.4890605045510326,0.06,,,
2026,k3_refs1_weavewithout_guidewithout,50,0.32,0.9324770440326066,0.02,,,
2026,k3_refs1_weavewithout_guideA,50,0.5,0.6356324380895859,0.04,,,
2026,k3_refs1_weavewithout_guideB,50,0.3,0.6906887049079168,0.0,,,
2026,k3_refs1_weavewith_guidewithout,50,0.1,0.6185547319060072,0.02,,,
2026,k3_refs1_weavewith_guideA,50,0.34,0.5932340417119565,0.18,,,
2026,k3_refs1_weavewith_guideB,50,0.22,0.6425947643905642,0.1,,,
2026,k3_refs1_weavewithdecoy_guidewithout,50,0.22,0.5194248265102607,0.04,,,
2026,k3_refs1_weavewithdecoy_guideA,50,0.28,0.5367332537243068,0.2,,,
2026,k3_refs1_weavewithdecoy_guideB,50,0.06,0.5313900224406215,0.08,,,
2026,k4_refs0_weavewithout_guidewithout,50,0.34,0.9239392336012446,0.02,,,
2026,k4_refs0_weavewithout_guideA,50,0.44,0.6190371429244274,0.08,,,
2026,k4_refs0_weavewithout_guideB,50,0.38,0.7257992667306642,0.0,,,
2026,k4_refs0_weavewith_guidewithout,50,0.18,0.5594282948554323,0.06,,,
2026,k4_refs0_weavewith_guideA,50,0.34,0.5567553694618107,0.16,,,
2026,k4_refs0_weavewith_guideB,50,0.24,0.6222395453095543,0.06,,,
2026,k4_refs0_weavewithdecoy_guidewithout,50,0.26,0.4769360697481988,0.12,,,
2026,k4_refs0_weavewithdecoy_guideA,50,0.42,0.5518382595227463,0.2,,,
2026,k4_refs0_weavewithdecoy_guideB,50,0.16,0.5526034768251086,0.08,,,
2026,k4_refs1_weavewithout_guidewithout,50,0.3,0.9303659811825815,0.0,,,
2026,k4_refs1_weavewithout_guideA,50,0.34,0.6398837148028236,0.08,,,
2026,k4_refs1_weavewithout_guideB,50,0.3,0.7544221693089957,0.0,,,
2026,k4_refs1_weavewith_guidewithout,50,0.1,0.6289474042757679,0.04,,,
2026,k4_refs1_weavewith_guideA,50,0.34,0.6904604916307495,0.18,,,
2026,k4_refs1_weavewith_guideB,50,0.12,0.6617003114333473,0.06,,,
2026,k4_refs1_weavewithdecoy_guidewithout,50,0.02,0.558762329100873,0.02,,,
2026,k4_refs1_weavewithdecoy_guideA,50,0.4,0.5200282266819104,0.16,,,
2026,k4_refs1_weavewithdecoy_guideB,50,0.2,0.5489912145001205,0.06,,,
2026,k5_refs0_weavewithout_guidewithout,50,0.38,0.9168636610387297,0.0,,,
2026,k5_refs0_weavewithout_guideA,50,0.44,0.7341226317054848,0.04,,,
2026,k5_refs0_weavewithout_guideB,50,0.3,0.7741906995245574,0.02,,,
2026,k5_refs0_weavewith_guidewithout,50,0.1,0.5998326741199026,0.02,,,
2026,k5_refs0_weavewith_guideA,50,0.34,0.5785254637646534,0.08,,,
2026,k5_refs0_weavewith_guideB,50,0.2,0.6349531394245386,0.02,,,
2026,k5_refs0_weavewithdecoy_guidewithout,50,0.16,0.5544046385559592,0.08,,,
2026,k5_refs0_weavewithdecoy_guideA,50,0.32,0.5312876577145705,0.26,,,
2026,k5_refs0_weavewithdecoy_guideB,50,0.26,0.5207249087149083,0.06,,,
2026,k5_refs1_weavewithout_guidewithout,50,0.4,0.9295564395476573,0.0,,,
2026,k5_refs1_weavewithout_guideA,50,0.5,0.7111425598568065,0.04,,,
2026,k5_refs1_weavewithout_guideB,50,0.36,0.7662459599692434,0.0,,,
2026,k5_refs1_weavewith_guidewithout,50,0.14,0.6242635581457,0.04,,,
2026,k5_refs1_weavewith_guideA,50,0.36,0.6322353456371073,0.14,,,
2026,k5_refs1_weavewith_guideB,50,0.16,0.6920323269154196,0.04,,,
2026,k5_refs1_weavewithdecoy_guidewithout,50,0.08,0.5772945062924282,0.02,,,
2026,k5_refs1_weavewithdecoy_guideA,50,0.28,0.6018881452528604,0.2,,,
2026,k5_refs1_weavewithdecoy_guideB,50,0.08,0.5342469582354396,0.04,,,
