seed,variant_id,n,asr,loc_f1,asr_after_sanitizer,asr_direct,loc_f1_direct,asr_after_sanitizer_direct
2026,noshard_weavewithout_guidewithout,50,0.22,0.8766258050259151,0.0,,,
2026,noshard_weavewithout_guideA,50,0.5,0.7102058765803068,0.06,,,
2026,noshard_weavewithout_guideB,50,0.18,0.5856265968418124,0.0,,,
2026,noshard_weavewith_guidewithout,50,0.06,0.3201818402691363,0.02,,,
2026,noshard_weavewith_guideA,50,0.4,0.3568524507300262,0.08,,,
2026,noshard_weavewith_guideB,50,0.1,0.33457013591259804,0.04,,,
2026,noshard_weavewithdecoy_guidewithout,50,0.08,0.21499589389085855,0.06,,,
2026,noshard_weavewithdecoy_guideA,50,0.32,0.46527601955208797,0.22,,,
2026,noshard_weavewithdecoy_guideB,50,0.16,0.404379944027112,0.04,,,
2026,k3_refs0_weavewithout_guidewithout,50,0.36,0.9306438565709223,0.02,,,
2026,k3_refs0_weavewithout_guideA,50,0.32,0.6714168544248267,0.04,,,
2026,k3_refs0_weavewithout_guideB,50,0.26,0.6666126851178947,0.0,,,
2026,k3_refs0_weavewith_guidewithout,50,0.22,0.5958387985123264,0.02,,,
2026,k3_refs0_weavewith_guideA,50,0.36,0.5929230785684979,0.06,,,
2026,k3_refs0_weavewith_guideB,50,0.18,0.5464664291113854,0.02,,,
2026,k3_refs0_weavewithdecoy_guidewithout,50,0.18,0.4942276473376761,0.06,,,
2026,k3_refs0_weavewithdecoy_guideA,50,0.44,0.529133237325969,0.24,,,
2026,k3_refs0_weavewithdecoy_guideB,50,0.22,0.5069668529783284,0.04,,,
2026,k3_refs1_weavewithout_guidewithout,50,0.28,0.933387700236744,0.04,,,
2026,k3_refs1_weavewithout_guideA,50,0.6,0.6015177947244087,0.06,,,
2026,k3_refs1_weavewithout_guideB,50,0.28,0.7112552261745942,0.0,,,
2026,k3_refs1_weavewith_guidewithout,50,0.14,0.5947583985547249,0.02,,,
2026,k3_refs1_weavewith_guideA,50,0.26,0.551416590153453,0.08,,,
2026,k3_refs1_weavewith_guideB,50,0.08,0.6143156096286674,0.04,,,
2026,k3_refs1_weavewithdecoy_guidewithout,50,0.14,0.4197711695876151,0.04,,,
2026,k3_refs1_weavewithdecoy_guideA,50,0.34,0.5505806849132305,0.24,,,
2026,k3_refs1_weavewithdecoy_guideB,50,0.12,0.5368822164755663,0.06,,,
2026,k4_refs0_weavewithout_guidewithout,50,0.26,0.917442388520039,0.02,,,
2026,k4_refs0_weavewithout_guideA,50,0.48,0.6851587035514661,0.04,,,
2026,k4_refs0_weavewithout_guideB,50,0.44,0.7477151113826217,0.02,,,
2026,k4_refs0_weavewith_guidewithout,50,0.12,0.586281555456806,0.04,,,
2026,k4_refs0_weavewith_guideA,50,0.32,0.5715160140576261,0.12,,,
2026,k4_refs0_weavewith_guideB,50,0.2,0.6028167000474945,0.1,,,
2026,k4_refs0_weavewithdecoy_guidewithout,50,0.1,0.5872851548840164,0.08,,,
2026,k4_refs0_weavewithdecoy_guideA,50,0.36,0.49442783627758546,0.24,,,
2026,k4_refs0_weavewithdecoy_guideB,50,0.14,0.5179013017151548,0.04,,,
2026,k4_refs1_weavewithout_guidewithout,50,0.38,0.9290710561861301,0.0,,,
2026,k4_refs1_weavewithout_guideA,50,0.52,0.7066062524671969,0.04,,,
2026,k4_refs1_weavewithout_guideB,50,0.3,0.7585308882150352,0.0,,,
2026,k4_refs1_weavewith_guidewithout,50,0.16,0.617140724202872,0.02,,,
2026,k4_refs1_weavewith_guideA,50,0.36,0.6171256750648301,0.26,,,
2026,k4_refs1_weavewith_guideB,50,0.12,0.675386750333324,0.0,,,
2026,k4_refs1_weavewithdecoy_guidewithout,50,0.06,0.5648150120841307,0.06,,,
2026,k4_refs1_weavewithdecoy_guideA,50,0.4,0.535148341802422,0.3,,,
2026,k4_refs1_weavewithdecoy_guideB,50,0.06,0.5411848473082125,0.02,,,
2026,k5_refs0_weavewithout_guidewithout,50,0.54,0.9236652716605905,0.0,,,
2026,k5_refs0_weavewithout_guideA,50,0.4,0.6784410493746981,0.1,,,
2026,k5_refs0_weavewithout_guideB,50,0.36,0.7837557602632375,0.0,,,
2026,k5_refs0_weavewith_guidewithout,50,0.12,0.6278200010367829,0.0,,,
2026,k5_refs0_weavewith_guideA,50,0.46,0.6281579246713198,0.12,,,
2026,k5_refs0_weavewith_guideB,50,0.14,0.6819001840530585,0.02,,,
2026,k5_refs0_weavewithdecoy_guidewithout,50,0.16,0.5104600583902205,0.08,,,
2026,k5_refs0_weavewithdecoy_guideA,50,0.26,0.4988472332025299,0.16,,,
2026,k5_refs0_weavewithdecoy_guideB,50,0.14,0.5590050731399513,0.04,,,
2026,k5_refs1_weavewithout_guidewithout,50,0.32,0.9304438601262801,0.02,,,
2026,k5_refs1_weavewithout_guideA,50,0.56,0.6988401480317414,0.04,,,
2026,k5_refs1_weavewithout_guideB,50,0.42,0.713943403215865,0.0,,,
2026,k5_refs1_weavewith_guidewithout,50,0.1,0.674813815853074,0.04,,,
2026,k5_refs1_weavewith_guideA,50,0.48,0.6093480563862823,0.16,,,
2026,k5_refs1_weavewith_guideB,50,0.14,0.7128991293654088,0.0,,,
2026,k5_refs1_weavewithdecoy_guidewithout,50,0.08,0.5439577502276974,0.0,,,
2026,k5_refs1_weavewithdecoy_guideA,50,0.34,0.5924835566936997,0.14,,,
2026,k5_refs1_weavewithdecoy_guideB,50,0.2,0.6482428901164744,0.1,,,
2026,k6_refs0_weavewithout_guidewithout,50,0.46,0.9257832673479837,0.04,,,
2026,k6_refs0_weavewithout_guideA,50,0.46,0.7756768203699351,0.02,,,
2026,k6_refs0_weavewithout_guideB,50,0.34,0.7729474434332174,0.0,,,
2026,k6_refs0_weavewith_guidewithout,50,0.16,0.648572662823624,0.04,,,
2026,k6_refs0_weavewith_guideA,50,0.44,0.5759868447820187,0.16,,,
2026,k6_refs0_weavewith_guideB,50,0.18,0.6307941944386919,0.06,,,
2026,k6_refs0_weavewithdecoy_guidewithout,50,0.24,0.5667933012606152,0.08,,,
2026,k6_refs0_weavewithdecoy_guideA,50,0.3,0.53875942430342,0.24,,,
2026,k6_refs0_weavewithdecoy_guideB,50,0.14,0.5705986619653768,0.08,,,
2026,k6_refs1_weavewithout_guidewithout,50,0.5,0.9288460252942126,0.0,,,
2026,k6_refs1_weavewithout_guideA,50,0.44,0.50612676944814,0.02,,,
2026,k6_refs1_weavewithout_guideB,50,0.32,0.5185054220666667,0.0,,,
2026,k6_refs1_weavewith_guidewithout,50,0.14,0.6573033320418709,0.04,,,
2026,k6_refs1_weavewith_guideA,50,0.42,0.6450338518253996,0.18,,,
2026,k6_refs1_weavewith_guideB,50,0.2,0.6668478327339113,0.02,,,
2026,k6_refs1_weavewithdecoy_guidewithout,50,0.1,0.5503714319548682,0.02,,,
2026,k6_refs1_weavewithdecoy_guideA,50,0.38,0.5676724931144069,0.24,,,
2026,k6_refs1_weavewithdecoy_guideB,50,0.16,0.5590359952435312,0.0,,,
2026,k7_refs0_weavewithout_guidewithout,50,0.42,0.9230586860467106,0.0,,,
2026,k7_refs0_weavewithout_guideA,50,0.5,0.6762832001810023,0.06,,,
2026,k7_refs0_weavewithout_guideB,50,0.48,0.7784984994271769,0.0,,,
2026,k7_refs0_weavewith_guidewithout,50,0.14,0.6553504245372724,0.02,,,
2026,k7_refs0_weavewith_guideA,50,0.4,0.5473728508350542,0.18,,,
2026,k7_refs0_weavewith_guideB,50,0.16,0.6469575908437664,0.0,,,
2026,k7_refs0_weavewithdecoy_guidewithout,50,0.12,0.6004739274428589,0.06,,,
2026,k7_refs0_weavewithdecoy_guideA,50,0.38,0.49118150082591383,0.14,,,
2026,k7_refs0_weavewithdecoy_guideB,50,0.26,0.5543434881553303,0.02,,,
2026,k7_refs1_weavewithout_guidewithout,50,0.48,0.9322499732565624,0.02,,,
2026,k7_refs1_weavewithout_guideA,50,0.32,0.07443789987168685,0.02,,,
2026,k7_refs1_weavewithout_guideB,50,0.38,0.3260213807512398,0.0,,,
2026,k7_refs1_weavewith_guidewithout,50,0.14,0.6577871863588194,0.02,,,
2026,k7_refs1_weavewith_guideA,50,0.36,0.5745048497051268,0.04,,,
2026,k7_refs1_weavewith_guideB,50,0.14,0.573252548461126,0.02,,,
2026,k7_refs1_weavewithdecoy_guidewithout,50,0.12,0.5580244801859335,0.04,,,
2026,k7_refs1_weavewithdecoy_guideA,50,0.4,0.4064954577573723,0.28,,,
2026,k7_refs1_weavewithdecoy_guideB,50,0.1,0.5614601138579282,0.0,,,
2026,k8_refs0_weavewithout_guidewithout,50,0.34,0.920912541837539,0.0,,,
2026,k8_refs0_weavewithout_guideA,50,0.52,0.34807091160042414,0.04,,,
2026,k8_refs0_weavewithout_guideB,50,0.5,0.5895405976377833,0.0,,,
2026,k8_refs0_weavewith_guidewithout,50,0.06,0.667824473488002,0.02,,,
2026,k8_refs0_weavewith_guideA,50,0.26,0.5572508304369868,0.14,,,
2026,k8_refs0_weavewith_guideB,50,0.16,0.6104385950527971,0.02,,,
2026,k8_refs0_weavewithdecoy_guidewithout,50,0.16,0.5809723461842575,0.06,,,
2026,k8_refs0_weavewithdecoy_guideA,50,0.46,0.497345886059163,0.24,,,
2026,k8_refs0_weavewithdecoy_guideB,50,0.14,0.5090282520230712,0.04,,,
2026,k8_refs1_weavewithout_guidewithout,50,0.42,0.6870449695165546,0.0,,,
2026,k8_refs1_weavewithout_guideA,50,0.46,0.1093532025192937,0.02,,,
2026,k8_refs1_weavewithout_guideB,50,0.4,0.13183959956963048,0.02,,,
2026,k8_refs1_weavewith_guidewithout,50,0.1,0.6778842650457504,0.0,,,
2026,k8_refs1_weavewith_guideA,50,0.4,0.49076386681601375,0.16,,,
2026,k8_refs1_weavewith_guideB,50,0.2,0.5633310473349408,0.06,,,
