variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer,asr_after_sanitizer_direct
k3_refs0_guideA,100,0.39,0.43,0.025512981306639176,0.08261440987327803,0.11,0.01
k3_refs0_guideB,100,0.15,0.37,0.023875159864764118,0.07243052957992056,0.05,0.02
k3_refs1_guideA,100,0.38,0.48,0.05313904614379191,0.08311608016623415,0.15,0.01
k3_refs1_guideB,100,0.16,0.47,0.005008756567425569,0.09120962866882376,0.07,0.02
k4_refs0_guideA,100,0.35,0.42,0.08522971054843267,0.07353429692751216,0.06,0.03
k4_refs0_guideB,100,0.11,0.42,0.024113471333592963,0.056433502272293705,0.02,0.04
k4_refs1_guideA,100,0.32,0.5,0.08389201729307189,0.0734991423670669,0.07,0.02
k4_refs1_guideB,100,0.18,0.39,0.014198817780435245,0.045501423221038236,0.05,0.03
k5_refs0_guideA,100,0.45,0.5,0.07980674368512836,0.1192791821879741,0.11,0.01
k5_refs0_guideB,100,0.15,0.46,0.024344423280709647,0.09115751171578053,0.07,0.02
k5_refs1_guideA,100,0.3,0.37,0.06840423876933245,0.045476274551131395,0.12,0.03
k5_refs1_guideB,100,0.13,0.44,0.0027230046948356805,0.0735480344681572,0.03,0.06
