variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer,asr_after_sanitizer_direct
k3_refs0_guideA,100,0.3,0.27,0.34407074027611406,0.6745812971114807,0.03,0.03
k3_refs0_guideB,100,0.11,0.25,0.3157771868489381,0.6277115629502252,0.02,0.02
k3_refs1_guideA,100,0.22,0.23,0.3603680079801825,0.6466604257551353,0.01,0.01
k3_refs1_guideB,100,0.09,0.23,0.35719125534463947,0.676952928606252,0.01,0.02
k4_refs0_guideA,100,0.27,0.22,0.3392526764212699,0.6065867517737575,0.03,0.02
k4_refs0_guideB,100,0.1,0.2,0.3476859951612419,0.7433713863445748,0.01,0.01
k4_refs1_guideA,100,0.28,0.15,0.35358839400021835,0.6688050788604084,0.0,0.0
k4_refs1_guideB,100,0.09,0.2,0.4524214738430019,0.6727600058685261,0.01,0.01
k5_refs0_guideA,100,0.25,0.26,0.3331354446498193,0.7361234757971234,0.02,0.01
k5_refs0_guideB,100,0.14,0.24,0.37380932588016913,0.723342413838992,0.02,0.02
k5_refs1_guideA,100,0.25,0.15,0.36650966148278963,0.6766621026867874,0.01,0.0
k5_refs1_guideB,100,0.14,0.23,0.4867238291619069,0.6948843346758501,0.0,0.0
k6_refs0_guideA,100,0.36,0.23,0.4051161568437019,0.754214661712235,0.01,0.0
k6_refs0_guideB,100,0.16,0.25,0.49904936415088785,0.6277428192138079,0.02,0.03
k6_refs1_guideA,100,0.29,0.24,0.4230630815939134,0.7070438787400485,0.02,0.01
k6_refs1_guideB,100,0.15,0.25,0.5372713338236672,0.688370709719122,0.02,0.01
