variant_id,n,asr,asr_direct,loc_f1,loc_f1_direct,asr_after_sanitizer,asr_after_sanitizer_direct
k3_refs0_guideA,100,0.25,0.2,0.37808627473070033,0.850148949337133,0.02,0.0
k3_refs0_guideB,100,0.02,0.16,0.39871229376167805,0.8542578285673202,0.0,0.0
k3_refs1_guideA,100,0.36,0.29,0.3634315799265176,0.8666598200594835,0.01,0.02
k3_refs1_guideB,100,0.07,0.22,0.419842069950487,0.8483092492307476,0.03,0.01
k4_refs0_guideA,100,0.27,0.19,0.4291569636678727,0.8748352754799185,0.03,0.01
k4_refs0_guideB,100,0.06,0.26,0.5006905278379545,0.8736778620897779,0.02,0.02
k4_refs1_guideA,100,0.25,0.17,0.44990613624927017,0.8582456837535146,0.02,0.02
k4_refs1_guideB,100,0.04,0.18,0.45829167349011973,0.8543036724694997,0.0,0.0
k5_refs0_guideA,100,0.37,0.18,0.4339444895287928,0.868769524178616,0.02,0.0
k5_refs0_guideB,100,0.11,0.26,0.4983468590557974,0.8483437935176391,0.02,0.03
k5_refs1_guideA,100,0.27,0.18,0.45170672760685027,0.8609891890668613,0.04,0.02
k5_refs1_guideB,100,0.09,0.16,0.46915711307041874,0.8621858926672314,0.03,0.0
k6_refs0_guideA,100,0.29,0.11,0.4169034499431109,0.8556326205905737,0.02,0.04
k6_refs0_guideB,100,0.07,0.21,0.4867889981327565,0.8721024144410398,0.01,0.03
k6_refs1_guideA,100,0.25,0.22,0.4282926698311696,0.8426425667426234,0.03,0.0
k6_refs1_guideB,100,0.06,0.18,0.4825286859044274,0.8517964376875333,0.0,0.02
